t,alert,recovery_margin
0,GREEN,0.3057905622822873
1,GREEN,0.31713318170247695
2,RED,0.0
3,RED,0.0
4,RED,0.0
5,RED,0.0
6,RED,0.0
7,RED,0.0
8,RED,0.0
9,RED,0.0
10,RED,0.0
11,RED,0.0
12,RED,0.0
13,RED,0.0
14,RED,0.0
15,RED,0.0
16,RED,0.0
17,RED,0.0
18,RED,0.0
19,RED,0.0
20,RED,0.0
21,RED,0.0
22,RED,0.0
23,RED,0.0
24,RED,0.0
25,RED,0.0
26,RED,0.0
27,RED,0.0
28,RED,0.0
29,RED,0.0
30,RED,0.0
31,RED,0.0
32,RED,0.0
33,RED,0.0
34,RED,0.0
35,RED,0.0
36,RED,0.0
37,RED,0.0
38,RED,0.0
39,RED,0.0
40,RED,0.0
41,RED,0.0
42,RED,0.0
43,RED,0.0
44,RED,0.0
45,RED,0.0
46,RED,0.0
47,RED,0.0
48,RED,0.0
49,RED,0.0
50,RED,0.0
51,RED,0.0
52,RED,0.0
53,RED,0.0
54,RED,0.0
55,RED,0.0
56,RED,0.0
57,RED,0.0
58,RED,0.0
59,RED,0.0
60,RED,0.0
61,RED,0.0
62,RED,0.0
63,RED,0.0
64,RED,0.0
65,RED,0.0
66,RED,0.0
67,RED,0.0
68,RED,0.0
69,RED,0.0
70,RED,0.0
71,RED,0.0
72,RED,0.0
73,RED,0.0
74,RED,0.0
75,RED,0.0
76,RED,0.0
77,RED,0.0
78,RED,0.0
79,RED,0.0
80,RED,0.0
81,RED,0.0
82,RED,0.0
83,RED,0.0
84,RED,0.0
85,RED,0.0
86,RED,0.0
87,RED,0.0
88,RED,0.0
89,RED,0.0
90,RED,0.0
91,RED,0.0
92,RED,0.0
93,RED,0.0
94,RED,0.0
95,RED,0.0
96,RED,0.0
97,RED,0.0
98,RED,0.0
99,RED,0.0
100,RED,0.0
101,RED,0.0
102,RED,0.0
103,RED,0.0
104,RED,0.0
105,RED,0.0
106,RED,0.0
107,RED,0.0
108,RED,0.0
109,RED,0.0
110,RED,0.0
111,RED,0.0
112,RED,0.0
113,RED,0.0
114,RED,0.0
115,RED,0.0
116,RED,0.0
117,RED,0.0
118,RED,0.0
119,RED,0.0
120,RED,0.0
121,RED,0.0
122,RED,0.0
123,RED,0.0
124,RED,0.0
125,RED,0.0
126,RED,0.0
127,RED,0.0
128,RED,0.0
129,RED,0.0
130,RED,0.0
131,RED,0.0
132,RED,0.0
133,RED,0.0
134,RED,0.0
135,RED,0.0
136,RED,0.0
137,RED,0.0
138,RED,0.0
139,RED,0.0
140,RED,0.0
141,RED,0.0
142,RED,0.0
143,RED,0.0
144,RED,0.0
145,RED,0.0
146,RED,0.0
147,RED,0.0
148,RED,0.0
149,RED,0.0
150,RED,0.0
151,RED,0.0
152,RED,0.0
153,RED,0.0
154,RED,0.0
155,RED,0.0
156,RED,0.0
157,RED,0.0
158,RED,0.0
159,RED,0.0
160,RED,0.0
161,RED,0.0
162,RED,0.0
163,RED,0.0
164,RED,0.0
165,RED,0.0
166,RED,0.0
167,RED,0.0
168,RED,0.0
169,RED,0.0
170,RED,0.0
171,RED,0.0
172,RED,0.0
173,RED,0.0
174,RED,0.0
175,RED,0.0
176,RED,0.0
177,RED,0.0
178,RED,0.0
179,RED,0.0
180,RED,0.0
181,RED,0.0
182,RED,0.0
183,RED,0.0
184,RED,0.0
185,RED,0.0
186,RED,0.0
187,RED,0.0
188,RED,0.0
189,RED,0.0
190,RED,0.0
191,RED,0.0
192,RED,0.0
193,RED,0.0
194,RED,0.0
195,RED,0.0
196,RED,0.0
197,RED,0.0
198,RED,0.0
199,RED,0.0
200,RED,0.0
201,RED,0.0
202,RED,0.0
203,RED,0.0
204,RED,0.0
205,RED,0.0
206,RED,0.0
207,RED,0.0
208,RED,0.0
209,RED,0.0
210,RED,0.0
211,RED,0.0
212,RED,0.0
213,RED,0.0
214,RED,0.0
215,RED,0.0
216,RED,0.0
217,RED,0.0
218,RED,0.0
219,RED,0.0
220,RED,0.0
221,RED,0.0
222,RED,0.0
223,RED,0.0
224,RED,0.0
225,RED,0.0
226,RED,0.0
227,RED,0.0
228,RED,0.0
229,RED,0.0
230,RED,0.0
231,RED,0.0
232,RED,0.0
233,RED,0.0
234,RED,0.0
235,RED,0.0
236,RED,0.0
237,RED,0.0
238,RED,0.0
239,RED,0.0
240,RED,0.0
241,RED,0.0
242,RED,0.0
243,RED,0.0
244,RED,0.0
245,RED,0.0
246,RED,0.0
247,RED,0.0
248,RED,0.0
249,RED,0.0
250,RED,0.0
251,RED,0.0
252,RED,0.0
253,RED,0.0
254,RED,0.0
255,RED,0.0
256,RED,0.0
257,RED,0.0
258,RED,0.0
259,RED,0.0
260,RED,0.0
261,RED,0.0
262,RED,0.0
263,RED,0.0
264,RED,0.0
265,RED,0.0
266,RED,0.0
267,RED,0.0
268,RED,0.0
269,RED,0.0
270,RED,0.0
271,RED,0.0
272,RED,0.0
273,RED,0.0
274,RED,0.0
275,RED,0.0
276,RED,0.0
277,RED,0.0
278,RED,0.0
279,RED,0.0
280,RED,0.0
281,RED,0.0
282,RED,0.0
283,RED,0.0
284,RED,0.0
285,RED,0.0
286,RED,0.0
287,RED,0.0
288,RED,0.0
289,RED,0.0
290,RED,0.0
291,RED,0.0
292,RED,0.0
293,RED,0.0
294,RED,0.0
295,RED,0.0
296,RED,0.0
297,RED,0.0
298,RED,0.0
299,RED,0.0
300,RED,0.0
301,RED,0.0
302,RED,0.0
303,RED,0.0
304,RED,0.0
305,RED,0.0
306,RED,0.0
307,RED,0.0
308,RED,0.0
309,RED,0.0
310,RED,0.0
311,RED,0.0
312,RED,0.0
313,RED,0.0
314,RED,0.0
315,RED,0.0
316,RED,0.0
317,RED,0.0
318,RED,0.0
319,RED,0.0
320,RED,0.0
321,RED,0.0
322,RED,0.0
323,RED,0.0
324,RED,0.0
325,RED,0.0
326,RED,0.0
327,RED,0.0
328,RED,0.0
329,RED,0.0
330,RED,0.0
331,RED,0.0
332,RED,0.0
333,RED,0.0
334,RED,0.0
335,RED,0.0
336,RED,0.0
337,RED,0.0
338,RED,0.0
339,RED,0.0
340,RED,0.0
341,RED,0.0
342,RED,0.0
343,RED,0.0
344,RED,0.0
345,RED,0.0
346,RED,0.0
347,RED,0.0
348,RED,0.0
349,RED,0.0
350,RED,0.0
351,RED,0.0
352,RED,0.0
353,RED,0.0
354,RED,0.0
355,RED,0.0
356,RED,0.0
357,RED,0.0
358,RED,0.0
359,RED,0.0
360,RED,0.0
361,RED,0.0
362,RED,0.0
363,RED,0.0
364,RED,0.0
365,RED,0.0
366,RED,0.0
367,RED,0.0
368,RED,0.0
369,RED,0.0
370,RED,0.0
371,RED,0.0
372,RED,0.0
373,RED,0.0
374,RED,0.0
375,RED,0.0
376,RED,0.0
377,RED,0.0
378,RED,0.0
379,RED,0.0
380,RED,0.0
381,RED,0.0
382,RED,0.0
383,RED,0.0
384,RED,0.0
385,RED,0.0
386,RED,0.0
387,RED,0.0
388,RED,0.0
389,RED,0.0
390,RED,0.0
391,RED,0.0
392,RED,0.0
393,RED,0.0
394,RED,0.0
395,RED,0.0
396,RED,0.0
397,RED,0.0
398,RED,0.0
399,RED,0.0
400,RED,0.0
401,RED,0.0
402,RED,0.0
403,RED,0.0
404,RED,0.0
405,RED,0.0
406,RED,0.0
407,RED,0.0
408,RED,0.0
409,RED,0.0
410,RED,0.0
411,RED,0.0
412,RED,0.0
